log_n,rho,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
20,1/2,32,56.848,332.551,5.518,244.177
20,1/2,32,52.463,388.952,5.586,243.544
20,1/2,32,73.938,347.899,5.524,243.138
20,1/2,32,51.800,325.026,5.532,240.387
20,1/2,32,102.175,338.543,5.530,244.450
21,1/2,32,112.264,672.955,5.711,262.514
21,1/2,32,108.963,631.470,5.729,261.576
21,1/2,32,111.477,625.828,5.687,261.990
21,1/2,32,95.396,617.726,5.713,261.670
21,1/2,32,101.921,614.531,5.685,261.763
22,1/2,32,238.416,1165.465,5.944,286.453
22,1/2,32,238.457,1119.346,5.985,289.578
22,1/2,32,226.017,1086.831,5.938,287.328
22,1/2,32,224.802,1152.697,5.968,289.484
22,1/2,32,264.708,1075.842,5.967,289.641
23,1/2,32,434.171,2199.636,6.105,308.415
23,1/2,32,428.918,2220.206,6.113,309.728
23,1/2,32,456.792,2180.828,6.124,308.353
23,1/2,32,411.346,2120.303,6.113,307.728
23,1/2,32,405.050,2118.918,6.117,308.915
24,1/2,32,812.615,4122.744,6.432,336.328
24,1/2,32,837.738,4285.569,6.450,335.921
24,1/2,32,1087.048,4198.685,6.407,335.546
24,1/2,32,814.972,4019.565,6.422,337.641
24,1/2,32,812.687,4072.466,6.422,335.265
25,1/2,32,1657.440,7965.988,6.596,359.180
25,1/2,32,1657.064,7996.016,6.589,358.773
25,1/2,32,1739.068,8087.020,6.592,357.680
25,1/2,32,1747.046,7957.052,6.561,356.867
25,1/2,32,1656.931,7878.970,6.558,356.680
26,1/2,32,3316.331,15907.905,6.847,386.805
26,1/2,32,3417.681,15807.582,6.837,385.180
26,1/2,32,3371.680,15714.911,6.838,385.305
26,1/2,32,3336.389,15556.439,6.880,385.711
26,1/2,32,3392.831,15599.417,6.830,385.117
27,1/2,32,6866.409,31711.139,7.014,407.734
27,1/2,32,7135.343,31750.968,7.064,409.016
27,1/2,32,7020.375,31290.467,7.042,406.828
27,1/2,32,7094.457,31531.156,7.014,408.703
27,1/2,32,6917.441,31755.689,7.040,407.672
28,1/2,32,14672.401,63302.458,7.236,436.327
28,1/2,32,14623.317,63042.462,7.297,436.202
28,1/2,32,14653.561,63025.480,7.253,435.546
28,1/2,32,14683.964,62963.807,7.246,435.265
28,1/2,32,14559.803,62753.890,7.266,434.015
