log_n,rho,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
20,1/2,32,130.306,205.815,21.239,2940.532
20,1/2,32,135.542,193.707,21.292,2940.532
20,1/2,32,135.304,275.912,21.287,2940.532
20,1/2,32,135.897,216.866,21.235,2940.532
20,1/2,32,135.740,221.426,21.231,2940.532
21,1/2,32,215.062,436.419,23.152,3210.759
21,1/2,32,210.406,441.226,23.067,3210.759
21,1/2,32,212.253,446.128,23.070,3210.759
21,1/2,32,212.843,440.429,23.133,3210.759
21,1/2,32,210.485,445.635,23.079,3210.759
22,1/2,32,409.950,729.955,25.106,3492.860
22,1/2,32,407.691,734.863,25.057,3492.860
22,1/2,32,419.068,736.436,25.077,3492.860
22,1/2,32,414.782,746.489,25.043,3492.860
22,1/2,32,421.899,720.821,25.024,3492.860
23,1/2,32,757.574,1397.623,27.068,3786.837
23,1/2,32,751.302,1414.277,27.013,3786.837
23,1/2,32,751.124,1385.455,27.046,3786.837
23,1/2,32,754.094,1419.538,27.042,3786.837
23,1/2,32,754.424,1395.296,27.045,3786.837
24,1/2,32,1439.877,2674.267,29.155,4092.688
24,1/2,32,1465.770,2672.953,29.170,4092.688
24,1/2,32,1459.175,2655.642,29.165,4092.688
24,1/2,32,1461.059,2654.147,29.189,4092.688
24,1/2,32,1457.808,2606.602,29.140,4092.688
25,1/2,32,2933.125,5209.961,31.321,4410.415
25,1/2,32,2917.157,5191.180,31.312,4410.415
25,1/2,32,2952.735,5154.731,31.301,4410.415
25,1/2,32,2950.834,5169.985,31.350,4410.415
25,1/2,32,2911.869,5151.151,31.306,4410.415
26,1/2,32,5952.916,10381.038,33.594,4740.017
26,1/2,32,5927.289,10261.529,33.533,4740.017
26,1/2,32,5968.687,10186.748,33.561,4740.017
26,1/2,32,5910.943,10224.253,33.578,4740.017
26,1/2,32,5904.418,10352.218,33.659,4740.017
27,1/2,32,12029.906,20445.074,35.975,5081.493
27,1/2,32,12010.507,20405.557,36.051,5081.493
27,1/2,32,12054.172,20375.658,35.968,5081.493
27,1/2,32,12141.235,20404.991,35.957,5081.493
27,1/2,32,12061.562,20384.701,35.895,5081.493
28,1/2,32,24731.542,40689.034,38.206,5434.845
28,1/2,32,24732.479,40672.348,38.240,5434.845
28,1/2,32,24784.265,40728.041,38.138,5434.845
